ID,WR_L4,WR_MOST_L4,RD_L4,Sum_Effi,D64_W33,D64_W50,D64_W66,D128_W33,D128_W50,D128_W66,D256_W33,D256_W50,D256_W66
284,54,56,25,642.7,49.22,49.7,48.54,81.24,79.09,76.29,88.86,85.67,84.09
285,54,56,27,646.16,50.7,49.45,48.67,81.42,78.83,76.51,89.46,86.06,85.06
286,54,56,29,646.16,50.7,49.45,48.67,81.42,78.83,76.51,89.46,86.06,85.06
287,54,56,31,561.1,50.7,49.45,48.67,81.42,78.83,76.51,89.46,86.06,0.0
288,54,56,33,646.16,50.7,49.45,48.67,81.42,78.83,76.51,89.46,86.06,85.06
289,54,60,19,641.58,47.96,48.4,48.61,79.49,78.1,75.8,90.07,88.06,85.09
290,54,60,21,479.91,48.93,48.72,48.7,80.63,78.51,0.0,88.98,0.0,85.44
291,54,60,23,597.4,0.0,49.79,49.06,80.98,79.21,76.6,89.66,87.09,85.01
292,54,60,25,562.52,49.94,50.38,49.0,81.21,79.75,77.04,89.07,86.13,0.0
293,54,60,27,651.91,51.38,50.32,49.21,81.33,78.98,77.61,89.62,87.18,86.28
294,54,60,29,651.91,51.38,50.32,49.21,81.33,78.98,77.61,89.62,87.18,86.28
295,54,60,31,601.59,51.38,0.0,49.21,81.33,78.98,77.61,89.62,87.18,86.28
296,54,60,33,651.91,51.38,50.32,49.21,81.33,78.98,77.61,89.62,87.18,86.28
297,54,64,19,643.9,48.01,48.71,49.18,79.33,78.2,76.85,89.87,88.03,85.72
298,54,64,21,647.23,49.13,49.21,49.82,79.53,79.46,76.96,89.02,88.04,86.06
299,54,64,23,515.4,49.81,49.82,0.0,81.81,79.47,77.81,89.23,87.45,0.0
300,54,64,25,650.52,50.58,50.58,50.01,80.74,79.64,77.54,89.24,86.65,85.54
301,54,64,27,653.24,51.01,50.07,49.74,81.54,79.9,77.93,89.3,87.16,86.59
302,54,64,29,652.87,51.01,49.7,49.74,81.54,79.9,77.93,89.3,87.16,86.59
303,54,64,31,653.24,51.01,50.07,49.74,81.54,79.9,77.93,89.3,87.16,86.59
304,54,64,33,653.24,51.01,50.07,49.74,81.54,79.9,77.93,89.3,87.16,86.59
305,54,68,19,644.8,48.08,48.69,48.87,78.36,78.85,77.72,89.07,88.76,86.4
306,54,68,21,647.62,47.63,48.87,49.37,80.63,79.81,77.56,89.13,88.4,86.22
307,54,68,23,651.82,49.43,50.09,49.67,81.07,79.96,78.32,89.49,88.2,85.59
308,54,68,25,652.06,50.12,49.9,49.73,80.75,80.13,78.22,89.56,87.82,85.83
309,54,68,27,653.7,49.9,49.88,49.64,81.72,79.62,78.3,90.05,88.74,85.85
310,54,68,29,653.7,49.9,49.88,49.64,81.72,79.62,78.3,90.05,88.74,85.85
311,54,68,31,564.96,49.9,49.88,49.64,81.72,79.62,78.3,90.05,0.0,85.85
312,54,68,33,653.7,49.9,49.88,49.64,81.72,79.62,78.3,90.05,88.74,85.85
313,56,56,19,634.9,46.32,47.99,47.44,78.73,77.85,75.75,89.61,86.85,84.36
314,56,56,21,639.87,48.09,48.55,48.24,80.26,78.31,75.9,89.62,86.63,84.27
315,56,56,23,643.34,49.23,49.46,48.56,81.51,78.46,76.28,88.29,86.94,84.61
316,56,56,25,558.44,49.25,49.03,48.58,80.75,78.84,76.51,88.49,86.99,0.0
317,56,56,27,643.91,49.25,49.03,48.58,80.75,78.84,76.51,88.49,86.99,85.47
318,56,56,29,643.91,49.25,49.03,48.58,80.75,78.84,76.51,88.49,86.99,85.47
319,56,56,31,643.91,49.25,49.03,48.58,80.75,78.84,76.51,88.49,86.99,85.47
320,56,56,33,643.91,49.25,49.03,48.58,80.75,78.84,76.51,88.49,86.99,85.47
321,56,60,19,641.22,47.96,48.04,48.61,79.49,78.1,75.8,90.07,88.06,85.09
322,56,60,21,644.7,48.93,49.24,48.7,80.63,78.96,76.39,88.98,87.43,85.44
323,56,60,23,519.52,0.0,49.5,49.39,79.58,79.02,0.0,89.55,87.15,85.33
324,56,60,25,650.54,50.21,49.89,49.12,81.17,79.63,76.86,89.64,87.77,86.25
325,56,60,27,650.54,50.21,49.89,49.12,81.17,79.63,76.86,89.64,87.77,86.25
326,56,60,29,650.54,50.21,49.89,49.12,81.17,79.63,76.86,89.64,87.77,86.25
327,56,60,31,650.54,50.21,49.89,49.12,81.17,79.63,76.86,89.64,87.77,86.25
328,56,60,33,650.54,50.21,49.89,49.12,81.17,79.63,76.86,89.64,87.77,86.25
329,56,64,19,643.46,48.01,48.27,49.18,79.33,78.2,76.85,89.87,88.03,85.72
330,56,64,21,647.04,49.13,49.52,49.82,79.53,78.96,76.96,89.02,88.04,86.06
331,56,64,23,562.65,49.81,49.44,49.67,80.5,79.66,77.61,88.68,87.28,0.0
332,56,64,25,650.41,50.12,49.06,49.52,80.69,79.18,77.66,90.01,87.79,86.38
333,56,64,27,571.23,50.12,49.06,49.52,80.69,0.0,77.66,90.01,87.79,86.38
334,56,64,29,600.29,0.0,49.06,49.52,80.69,79.18,77.66,90.01,87.79,86.38
335,56,64,31,650.41,50.12,49.06,49.52,80.69,79.18,77.66,90.01,87.79,86.38
336,56,64,33,569.72,50.12,49.06,49.52,0.0,79.18,77.66,90.01,87.79,86.38
337,56,68,19,644.85,48.08,48.74,48.87,78.36,78.85,77.72,89.07,88.76,86.4
338,56,68,21,647.2,47.63,49.04,49.37,80.63,79.22,77.56,89.13,88.4,86.22
339,56,68,23,651.47,49.43,49.77,49.8,81.26,79.7,78.31,89.7,87.28,86.22
340,56,68,25,651.13,49.66,49.92,49.64,80.33,79.96,77.76,89.47,88.1,86.29
341,56,68,27,651.13,49.66,49.92,49.64,80.33,79.96,77.76,89.47,88.1,86.29
342,56,68,29,651.13,49.66,49.92,49.64,80.33,79.96,77.76,89.47,88.1,86.29
343,56,68,31,564.84,49.66,49.92,49.64,80.33,79.96,77.76,89.47,88.1,0.0
344,56,68,33,651.13,49.66,49.92,49.64,80.33,79.96,77.76,89.47,88.1,86.29
345,58,60,19,565.75,47.96,48.37,48.61,79.49,78.1,0.0,90.07,88.06,85.09
346,58,60,21,645.02,48.93,48.87,48.76,80.05,79.2,76.43,89.8,87.69,85.29
347,58,60,23,648.59,48.65,48.84,49.18,81.18,79.07,77.09,90.41,88.08,86.09
348,58,60,25,648.59,48.65,48.84,49.18,81.18,79.07,77.09,90.41,88.08,86.09
349,58,60,27,648.59,48.65,48.84,49.18,81.18,79.07,77.09,90.41,88.08,86.09
350,58,60,29,648.59,48.65,48.84,49.18,81.18,79.07,77.09,90.41,88.08,86.09
351,58,60,31,648.59,48.65,48.84,49.18,81.18,79.07,77.09,90.41,88.08,86.09
352,58,60,33,571.5,48.65,48.84,49.18,81.18,79.07,0.0,90.41,88.08,86.09
353,58,64,19,643.8,48.01,48.61,49.18,79.33,78.2,76.85,89.87,88.03,85.72
354,58,64,21,647.66,49.13,49.13,49.89,80.41,79.12,77.11,88.9,88.09,85.88
355,58,64,23,649.93,49.7,49.61,49.32,80.7,79.24,77.31,89.52,88.03,86.5
356,58,64,25,600.23,0.0,49.61,49.32,80.7,79.24,77.31,89.52,88.03,86.5
357,58,64,27,649.93,49.7,49.61,49.32,80.7,79.24,77.31,89.52,88.03,86.5
358,58,64,29,649.93,49.7,49.61,49.32,80.7,79.24,77.31,89.52,88.03,86.5
359,58,64,31,649.93,49.7,49.61,49.32,80.7,79.24,77.31,89.52,88.03,86.5
360,58,64,33,569.23,49.7,49.61,49.32,0.0,79.24,77.31,89.52,88.03,86.5
361,58,68,19,644.77,48.08,48.66,48.87,78.36,78.85,77.72,89.07,88.76,86.4
362,58,68,21,648.56,47.63,48.89,49.38,80.29,79.84,77.86,89.67,88.58,86.42
363,58,68,23,651.13,48.32,49.6,49.66,80.51,79.85,77.96,90.06,88.79,86.38
364,58,68,25,651.13,48.32,49.6,49.66,80.51,79.85,77.96,90.06,88.79,86.38
365,58,68,27,570.62,48.32,49.6,49.66,0.0,79.85,77.96,90.06,88.79,86.38
366,58,68,29,651.13,48.32,49.6,49.66,80.51,79.85,77.96,90.06,88.79,86.38
367,58,68,31,651.13,48.32,49.6,49.66,80.51,79.85,77.96,90.06,88.79,86.38
368,58,68,33,651.13,48.32,49.6,49.66,80.51,79.85,77.96,90.06,88.79,86.38
369,60,60,19,643.12,47.96,48.37,48.69,79.78,78.22,76.44,90.15,88.18,85.33
370,60,60,21,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
371,60,60,23,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
372,60,60,25,596.34,0.0,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
373,60,60,27,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
374,60,60,29,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
375,60,60,31,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
376,60,60,33,643.91,47.57,48.68,48.52,80.12,78.66,76.33,90.53,87.84,85.66
377,60,64,19,643.84,48.01,48.61,48.97,78.66,78.36,76.54,90.64,88.23,85.82
378,60,64,21,648.53,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,86.57
379,60,64,23,561.96,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,0.0
380,60,64,25,558.27,47.85,48.83,49.35,80.63,79.08,77.2,0.0,88.76,86.57
381,60,64,27,648.53,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,86.57
382,60,64,29,648.53,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,86.57
383,60,64,31,648.53,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,86.57
384,60,64,33,648.53,47.85,48.83,49.35,80.63,79.08,77.2,90.26,88.76,86.57
385,60,68,19,567.17,48.08,48.66,49.59,78.36,78.68,0.0,89.28,88.46,86.06
386,60,68,21,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
387,60,68,23,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
388,60,68,25,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
389,60,68,27,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
390,60,68,29,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
391,60,68,31,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
392,60,68,33,650.23,48.81,48.68,48.87,81.14,79.02,77.74,90.57,88.59,86.81
393,62,64,19,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
394,62,64,21,595.87,0.0,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
395,62,64,23,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
396,62,64,25,595.87,0.0,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
397,62,64,27,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
398,62,64,29,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
399,62,64,31,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
400,62,64,33,643.25,47.38,48.7,48.22,78.7,78.23,76.32,90.99,88.67,86.04
401,62,68,19,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
402,62,68,21,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
403,62,68,23,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
404,62,68,25,597.95,49.35,48.08,0.0,79.33,78.47,77.19,90.71,88.63,86.19
405,62,68,27,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
406,62,68,29,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
407,62,68,31,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
408,62,68,33,646.85,49.35,48.08,48.9,79.33,78.47,77.19,90.71,88.63,86.19
409,64,64,19,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
410,64,64,21,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
411,64,64,23,580.09,46.18,0.0,47.82,78.9,76.66,74.68,88.3,85.12,82.43
412,64,64,25,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
413,64,64,27,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
414,64,64,29,580.09,46.18,0.0,47.82,78.9,76.66,74.68,88.3,85.12,82.43
415,64,64,31,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
416,64,64,33,627.51,46.18,47.42,47.82,78.9,76.66,74.68,88.3,85.12,82.43
417,64,68,19,625.93,45.66,47.41,48.14,77.89,76.59,74.21,88.76,84.73,82.54
418,64,68,21,625.93,45.66,47.41,48.14,77.89,76.59,74.21,88.76,84.73,82.54
419,64,68,23,548.04,45.66,47.41,48.14,0.0,76.59,74.21,88.76,84.73,82.54
420,64,68,25,625.93,45.66,47.41,48.14,77.89,76.59,74.21,88.76,84.73,82.54
421,64,68,27,551.72,45.66,47.41,48.14,77.89,76.59,0.0,88.76,84.73,82.54
422,64,68,29,625.93,45.66,47.41,48.14,77.89,76.59,74.21,88.76,84.73,82.54
423,64,68,31,578.52,45.66,0.0,48.14,77.89,76.59,74.21,88.76,84.73,82.54
424,64,68,33,625.93,45.66,47.41,48.14,77.89,76.59,74.21,88.76,84.73,82.54
