name,total_gbs,dmc_gbs,stddev,mean,min,max,exit
base,34.91,34.94,46.28,2079.02,2001,2174,0
randbabg,34.83,34.86,41.65,2079.00,1997,2160,0
shift1,34.93,34.96,52.14,2079.00,1964,2257,0
shift2,35.02,35.04,40.29,2079.00,2004,2190,0
shift4,34.94,34.97,47.52,2079.04,1937,2171,0
bal,34.91,34.94,46.28,2079.02,2001,2174,0
bal_rand,34.83,34.86,41.65,2079.00,1997,2160,0
